Category,Workplace,Location,Department,Type,final_features
Business Analyst,On-site,"Amman, Amman Governorate, Jordan","Sales, OLX Oman Jordan",Full time,business analyst on site amman amman governorate jordan sales olx oman jordan full time
Business Analyst,On-site,"Cebu City, Central Visayas, Philippines",unknown,Full time,business analyst on site cebu city central visayas philippines unknown full time
Business Analyst,Remote,"London, England, United Kingdom",Analytics,Full time,business analyst remote london england united kingdom analytics full time
Business Analyst,Hybrid,"London, England, United Kingdom",Finance,Full time,business analyst hybrid london england united kingdom finance full time
Business Analyst,Remote,"Belle Isle, Florida, United States",unknown,Full time,business analyst remote belle isle florida united states unknown full time
Business Analyst,Remote,United States,Computer/Software,Full time,business analyst remote united states computer software full time
Business Analyst,On-site,"Belgrade, Vojvodina, Serbia",IMPLEMENTATIONS & DELIVERY,Full time,business analyst on site belgrade vojvodina serbia implementations delivery full time
Business Analyst,Hybrid,"Auckland, Auckland, New Zealand",Insights,Full time,business analyst hybrid auckland auckland new zealand insights full time
Business Analyst,On-site,"Riyadh, Riyadh Province, Saudi Arabia",Commercial,Contract,business analyst on site riyadh riyadh province saudi arabia commercial contract
Business Analyst,On-site,"London, England, United Kingdom",Private Credit,Full time,business analyst on site london england united kingdom private credit full time
Business Analyst,On-site,"UK, United Kingdom, United Kingdom",Data+,unknown,business analyst on site uk united kingdom united kingdom data+ unknown
Business Analyst,Hybrid,"Melbourne, Victoria, Australia",Platform Product,Full time,business analyst hybrid melbourne victoria australia platform product full time
Business Analyst,On-site,"Bengaluru, Karnataka, India",unknown,Full time,business analyst on site bengaluru karnataka india unknown full time
Business Analyst,On-site,"Leeds, England, United Kingdom",Research Analysts,Contract,business analyst on site leeds england united kingdom research analysts contract
Business Analyst,On-site,"Sydney, New South Wales, Australia",IT,Contract,business analyst on site sydney new south wales australia it contract
Business Analyst,On-site,"Chalcis, Central Greece, Greece",Αθήνα,Other,business analyst on site chalcis central greece greece unknown other
Business Analyst,Remote,"Arlington, Virginia, United States",Digital Services,Full time,business analyst remote arlington virginia united states digital services full time
Business Analyst,unknown,unknown,unknown,unknown,business analyst unknown unknown unknown unknown
Business Analyst,On-site,"Jeddah, Makkah Province, Saudi Arabia",Data and Analytics,Full time,business analyst on site jeddah makkah province saudi arabia data and analytics full time
Business Analyst,Hybrid,"Manchester, England, United Kingdom",Development and Technical,Full time,business analyst hybrid manchester england united kingdom development and technical full time
Business Analyst,unknown,"Kuwait City, Al Asimah Governate, Kuwait",Agility Logistics Parks,Full time,business analyst unknown kuwait city al asimah governate kuwait agility logistics parks full time
Business Analyst,Hybrid,"London, England, United Kingdom",Finance,Full time,business analyst hybrid london england united kingdom finance full time
Business Analyst,Remote,"Delhi, India",unknown,unknown,business analyst remote delhi india unknown unknown
Business Analyst,Hybrid,"Toronto, Ontario, Canada",Business Management,Full time,business analyst hybrid toronto ontario canada business management full time
Business Analyst,Remote,"Cairo, Cairo Governorate, Egypt",59,unknown,business analyst remote cairo cairo governorate egypt 59 unknown
Business Analyst,On-site,"North West, England, United Kingdom",Change+,unknown,business analyst on site north west england united kingdom change+ unknown
Business Analyst,On-site,"Lagos, Lagos, Nigeria",DCP - Operations,Full time,business analyst on site lagos lagos nigeria dcp operations full time
Business Analyst,On-site,"Calgary, Alberta, Canada",unknown,Full time,business analyst on site calgary alberta canada unknown full time
Business Analyst,On-site,"New York, New York, United States",Corporate,Full time,business analyst on site new york new york united states corporate full time
Business Analyst,Hybrid,"San Antonio, Texas, United States",unknown,Full time,business analyst hybrid san antonio texas united states unknown full time
Business Analyst,On-site,"London, England, United Kingdom",Private Credit,Full time,business analyst on site london england united kingdom private credit full time
Business Analyst,Remote,Philippines,unknown,unknown,business analyst remote philippines unknown unknown
Business Analyst,On-site,"Bengaluru, Karnataka, India",unknown,Full time,business analyst on site bengaluru karnataka india unknown full time
Business Analyst,On-site,"Calgary, Alberta, Canada",Analysis,Full time,business analyst on site calgary alberta canada analysis full time
Business Analyst,On-site,"London, England, United Kingdom",Research Analysts,Contract,business analyst on site london england united kingdom research analysts contract
Business Analyst,On-site,"Fort Worth, Texas, United States",Analytics,Full time,business analyst on site fort worth texas united states analytics full time
Business Analyst,On-site,"Lagos, Lagos, Nigeria",CX Operations,Full time,business analyst on site lagos lagos nigeria cx operations full time
Business Analyst,Remote,"Lagos, Lagos, Nigeria",Data Science,Full time,business analyst remote lagos lagos nigeria data science full time
Business Analyst,On-site,"Obajana, Kogi, Nigeria",Risk Management,Full time,business analyst on site obajana kogi nigeria risk management full time
Business Analyst,Remote,"Boston, Massachusetts, United States",Science & Knowledge,unknown,business analyst remote boston massachusetts united states science knowledge unknown
Business Analyst,On-site,"Makati, Metro Manila, Philippines",Operations,Full time,business analyst on site makati metro manila philippines operations full time
Business Analyst,Remote,Philippines,unknown,unknown,business analyst remote philippines unknown unknown
Business Analyst,Hybrid,"London, England, United Kingdom",Customer Experience,Full time,business analyst hybrid london england united kingdom customer experience full time
Business Analyst,On-site,"Anfa-Casablanca, Casablanca-Settat, Morocco",Research,Full time,business analyst on site anfa casablanca casablanca settat morocco research full time
Business Analyst,Hybrid,"Athens, Attica, Greece",Finance,Full time,business analyst hybrid athens attica greece finance full time
Business Analyst,Hybrid,"London, England, United Kingdom",unknown,Full time,business analyst hybrid london england united kingdom unknown full time
Business Analyst,Remote,"Sacramento, California, United States",Finance,Full time,business analyst remote sacramento california united states finance full time
Business Analyst,Hybrid,"Montreal, Quebec, Canada",Structured Content,unknown,business analyst hybrid montreal quebec canada structured content unknown
Business Analyst,Hybrid,"Milan, Metropolitan City of Milan, Italy",Strategy & BI,Full time,business analyst hybrid milan metropolitan city of milan italy strategy bi full time
Business Analyst,Hybrid,"Sofia, Sofia City Province, Bulgaria",unknown,Full time,business analyst hybrid sofia sofia city province bulgaria unknown full time
Business Analyst,Remote,United States,unknown,Contract,business analyst remote united states unknown contract
Business Analyst,On-site,"Al-Dajeej, Al Farwaniyah Governorate, Kuwait",PWC Technologies,Full time,business analyst on site al dajeej al farwaniyah governorate kuwait pwc technologies full time
Business Analyst,Hybrid,"Golden, Colorado, United States",Asset Management,Full time,business analyst hybrid golden colorado united states asset management full time
Business Analyst,On-site,"Dubai, Dubai, United Arab Emirates",Strategy,unknown,business analyst on site dubai dubai united arab emirates strategy unknown
Business Analyst,Hybrid,"Phra Khanong, Bangkok, Thailand",Data Science,Full time,business analyst hybrid phra khanong bangkok thailand data science full time
Business Analyst,On-site,"Lagos, Lagos, Nigeria",DCP - Finance & IT,Full time,business analyst on site lagos lagos nigeria dcp finance it full time
Business Analyst,On-site,"Concord, New Hampshire, United States",Related Services,Full time,business analyst on site concord new hampshire united states related services full time
Business Analyst,On-site,"Bristol, England, United Kingdom",unknown,Full time,business analyst on site bristol england united kingdom unknown full time
Business Analyst,Remote,"London, England, United Kingdom",Associates,Contract,business analyst remote london england united kingdom associates contract
Business Analyst,On-site,"Hursley, England, United Kingdom",Tech+,unknown,business analyst on site hursley england united kingdom tech+ unknown
Business Analyst,On-site,"Amarillo, Texas, United States",Human Resources,Full time,business analyst on site amarillo texas united states human resources full time
Business Analyst,On-site,"New York, New York, United States",Technology/Data,Full time,business analyst on site new york new york united states technology data full time
Business Analyst,Remote,"Jakarta, Jakarta, Indonesia",Data,Full time,business analyst remote jakarta jakarta indonesia data full time
Business Analyst,On-site,"Dubai, Dubai, United Arab Emirates",unknown,Full time,business analyst on site dubai dubai united arab emirates unknown full time
Business Analyst,Remote,"Austin, Texas, United States",Engineering,Full time,business analyst remote austin texas united states engineering full time
Business Analyst,On-site,"Virginia Beach, Virginia, United States",Corporate Strategy,Full time,business analyst on site virginia beach virginia united states corporate strategy full time
Business Analyst,On-site,"Riyadh, Riyadh Province, Saudi Arabia","Bayut KSA, Internal Audit & Compliance",unknown,business analyst on site riyadh riyadh province saudi arabia bayut ksa internal audit compliance unknown
Business Analyst,Hybrid,"Barlborough, England, United Kingdom",Business Support,Part time,business analyst hybrid barlborough england united kingdom business support part time
Business Analyst,Remote,"Delhi, India",unknown,Contract,business analyst remote delhi india unknown contract
Business Analyst,On-site,"Mexico City, Mexico City, Mexico",One Research,Full time,business analyst on site mexico city mexico city mexico one research full time
Business Analyst,On-site,"Singapore, Central, Singapore",Management,Full time,business analyst on site singapore central singapore management full time
Business Analyst,On-site,"Sydney, New South Wales, Australia",Sales,Full time,business analyst on site sydney new south wales australia sales full time
Business Analyst,Remote,"Jakarta, Jakarta, Indonesia",Data,Full time,business analyst remote jakarta jakarta indonesia data full time
Business Analyst,On-site,"Dubai, Dubai, United Arab Emirates",unknown,Full time,business analyst on site dubai dubai united arab emirates unknown full time
Business Analyst,Remote,"Austin, Texas, United States",Engineering,Full time,business analyst remote austin texas united states engineering full time
Business Analyst,On-site,"Virginia Beach, Virginia, United States",Corporate Strategy,Full time,business analyst on site virginia beach virginia united states corporate strategy full time
Business Analyst,On-site,"Riyadh, Riyadh Province, Saudi Arabia","Bayut KSA, Internal Audit & Compliance",unknown,business analyst on site riyadh riyadh province saudi arabia bayut ksa internal audit compliance unknown
Business Analyst,Hybrid,"Barlborough, England, United Kingdom",Business Support,Part time,business analyst hybrid barlborough england united kingdom business support part time
Business Analyst,Remote,"Delhi, India",unknown,Contract,business analyst remote delhi india unknown contract
Business Analyst,On-site,"Mexico City, Mexico City, Mexico",One Research,Full time,business analyst on site mexico city mexico city mexico one research full time
Business Analyst,On-site,"Singapore, Central, Singapore",Management,Full time,business analyst on site singapore central singapore management full time
Business Analyst,On-site,"Sydney, New South Wales, Australia",Sales,Full time,business analyst on site sydney new south wales australia sales full time
Cloud,Remote,India,Information Technology,Full time,cloud remote india information technology full time
Cloud,Hybrid,"Witney, England, United Kingdom",Permanent,Full time,cloud hybrid witney england united kingdom permanent full time
Cloud,On-site,"Gurugram, Haryana, India",Sales,Full time,cloud on site gurugram haryana india sales full time
Cloud,Hybrid,"Tampa, Florida, United States",Client Services,Full time,cloud hybrid tampa florida united states client services full time
Cloud,On-site,"Wrocław, Lower Silesian Voivodeship, Poland",Ryanair Labs Wrocław,unknown,cloud on site wroc aw lower silesian voivodeship poland ryanair labs wroc aw unknown
Cloud,Remote,"Gurugram, Haryana, India",Sales,Full time,cloud remote gurugram haryana india sales full time
Cloud,On-site,"Ridgefield Park, New Jersey, United States",Cloud Business Division,Full time,cloud on site ridgefield park new jersey united states cloud business division full time
Cloud,On-site,"Bengaluru, Karnataka, India",Engineering,unknown,cloud on site bengaluru karnataka india engineering unknown
Cloud,On-site,"Dubai, Dubai, United Arab Emirates",Corporate,Full time,cloud on site dubai dubai united arab emirates corporate full time
Cloud,Remote,India,Information Technology,Full time,cloud remote india information technology full time
Cloud,Hybrid,"Witney, England, United Kingdom",Permanent,Full time,cloud hybrid witney england united kingdom permanent full time
Cloud,On-site,"Gurugram, Haryana, India",Sales,Full time,cloud on site gurugram haryana india sales full time
Cloud,Hybrid,"Tampa, Florida, United States",Client Services,Full time,cloud hybrid tampa florida united states client services full time
Cloud,On-site,"Wrocław, Lower Silesian Voivodeship, Poland",Ryanair Labs Wrocław,unknown,cloud on site wroc aw lower silesian voivodeship poland ryanair labs wroc aw unknown
Cloud,Remote,"Gurugram, Haryana, India",Sales,Full time,cloud remote gurugram haryana india sales full time
Cloud,On-site,"Ridgefield Park, New Jersey, United States",Cloud Business Division,Full time,cloud on site ridgefield park new jersey united states cloud business division full time
Cloud,unknown,"Bengaluru, Karnataka, India",Engineering,unknown,cloud unknown bengaluru karnataka india engineering unknown
Cloud,On-site,"Dubai, Dubai, United Arab Emirates",Corporate,Full time,cloud on site dubai dubai united arab emirates corporate full time
Cloud,Remote,India,Information Technology,Full time,cloud remote india information technology full time
Cloud,Hybrid,"Witney, England, United Kingdom",Permanent,Full time,cloud hybrid witney england united kingdom permanent full time
Cloud,On-site,"Gurugram, Haryana, India",Sales,Full time,cloud on site gurugram haryana india sales full time
Cloud,Hybrid,"Tampa, Florida, United States",Client Services,Full time,cloud hybrid tampa florida united states client services full time
Cloud,On-site,"Wrocław, Lower Silesian Voivodeship, Poland",Ryanair Labs Wrocław,unknown,cloud on site wroc aw lower silesian voivodeship poland ryanair labs wroc aw unknown
Cloud,Remote,"Gurugram, Haryana, India",Sales,Full time,cloud remote gurugram haryana india sales full time
Cloud,On-site,"Ridgefield Park, New Jersey, United States",Cloud Business Division,Full time,cloud on site ridgefield park new jersey united states cloud business division full time
Cloud,On-site,"Bengaluru, Karnataka, India",Engineering,unknown,cloud on site bengaluru karnataka india engineering unknown
Cloud,On-site,"Dubai, Dubai, United Arab Emirates",Corporate,Full time,cloud on site dubai dubai united arab emirates corporate full time
Cloud,Remote,"Dallas, Texas, United States",unknown,Full time,cloud remote dallas texas united states unknown full time
Cloud,Hybrid,"San Francisco, California, United States",SFW,Full time,cloud hybrid san francisco california united states sfw full time
Cloud,Remote,Spain,unknown,unknown,cloud remote spain unknown unknown
Cloud,Remote,United Kingdom,Sales,Full time,cloud remote united kingdom sales full time
Cloud,Remote,"Washington, District of Columbia, United States",Digital Services,Full time,cloud remote washington district of columbia united states digital services full time
Cloud,Remote,"New York, New York, United States",Engineering,Full time,cloud remote new york new york united states engineering full time
Cloud,Hybrid,"Bengaluru, Karnataka, India",ENG,Full time,cloud hybrid bengaluru karnataka india eng full time
Cloud,On-site,"Mumbai, Maharashtra, India","Market Unit International, MU Int India",Full time,cloud on site mumbai maharashtra india market unit international mu int india full time
Cloud,Remote,France,Customer Success,Full time,cloud remote france customer success full time
Cloud,Remote,United States,Engineering,Full time,cloud remote united states engineering full time
Cloud,Remote,United States,Customer Success,Full time,cloud remote united states customer success full time
Cloud,Remote,unknown,Localization,Other,cloud remote unknown localization other
Cloud,Remote,"Brussels, Brussels, Belgium",DELIV4,unknown,cloud remote brussels brussels belgium deliv4 unknown
Cloud,Remote,"Cambridge, England, United Kingdom",Product and Engineering,Full time,cloud remote cambridge england united kingdom product and engineering full time
Cloud,Remote,"Chicago, Illinois, United States",Analytics,Full time,cloud remote chicago illinois united states analytics full time
Cloud,On-site,"Sofia, Sofia City Province, Bulgaria",NetNation,Full time,cloud on site sofia sofia city province bulgaria netnation full time
Cloud,On-site,"Kathmandu, Central Development Region, Nepal",unknown,unknown,cloud on site kathmandu central development region nepal unknown unknown
Cloud,Remote,Spain,UNIT 4,Full time,cloud remote spain unit 4 full time
Cloud,Remote,Germany,Customer Success,Full time,cloud remote germany customer success full time
Cloud,Hybrid,"Athens, Attica, Greece",unknown,Full time,cloud hybrid athens attica greece unknown full time
Cloud,Remote,"Tangier, Tangier-Tétouan-Al Hoceima, Morocco",🔵,Full time,cloud remote tangier tangier t touan al hoceima morocco unknown full time
Cloud,On-site,"Cebu City, Central Visayas, Philippines",unknown,Full time,cloud on site cebu city central visayas philippines unknown full time
Cloud,On-site,"Gurugram, Haryana, India",Game Testing,Full time,cloud on site gurugram haryana india game testing full time
Cloud,Hybrid,"Shibuya, Tokyo, Japan",Engineering,Full time,cloud hybrid shibuya tokyo japan engineering full time
Cloud,Hybrid,"London, England, United Kingdom",Technology & Data,Full time,cloud hybrid london england united kingdom technology data full time
Cloud,On-site,"Gurugram, Haryana, India",Sales,Full time,cloud on site gurugram haryana india sales full time
Cloud,On-site,"Leawood, Kansas, United States",epay,Full time,cloud on site leawood kansas united states epay full time
Cloud,Remote,"Paris, Île-de-France, France",Data Science,Full time,cloud remote paris le de france france data science full time
Cloud,Remote,United States,United States (US),Contract,cloud remote united states united states us contract
Cloud,On-site,"Seoul, Seoul, Korea, Republic of",Research,Full time,cloud on site seoul seoul korea republic of research full time
Cloud,On-site,"Al-Dajeej, Al Farwaniyah Governorate, Kuwait",PWC Technologies,Full time,cloud on site al dajeej al farwaniyah governorate kuwait pwc technologies full time
Cloud,Remote,Canada,Technology,Full time,cloud remote canada technology full time
Cloud,On-site,"Gurugram, Haryana, India","Qoala - Indonesia, Engineering, Core Engineering",Full time,cloud on site gurugram haryana india qoala indonesia engineering core engineering full time
Cloud,On-site,"Sacramento, California, United States",ITPM,Full time,cloud on site sacramento california united states itpm full time
Cloud,On-site,"Gurugram, Haryana, India",Sales,Full time,cloud on site gurugram haryana india sales full time
Cloud,On-site,"Leawood, Kansas, United States",epay,Full time,cloud on site leawood kansas united states epay full time
Cloud,Remote,"Paris, Île-de-France, France",Data Science,Full time,cloud remote paris le de france france data science full time
Cloud,Remote,United States,United States (US),Contract,cloud remote united states united states us contract
Cloud,On-site,"Seoul, Seoul, Korea, Republic of",Research,Full time,cloud on site seoul seoul korea republic of research full time
